date,info
2019-07-13 19:41:52.049000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":70}"
2019-07-13 19:41:54.101000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":70}"
2019-07-13 19:41:56.159000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":70}"
2019-07-13 19:41:58.250000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":70}"
2019-07-13 19:42:00.049000+00:00,"{""contact"":false,""linkquality"":42,""battery"":100,""voltage"":3015}"
2019-07-13 19:42:00.266000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":70}"
2019-07-13 19:42:02.337000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":70}"
2019-07-13 19:42:04.391000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":70}"
2019-07-13 19:42:06.438000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":70}"
2019-07-13 19:42:06.558000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":70}"
2019-07-13 19:42:06.582000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":70}"
2019-07-13 19:42:13.659000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":68}"
2019-07-13 19:42:15.690000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":69}"
2019-07-13 19:42:17.720000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":68}"
2019-07-13 19:42:19.767000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":69}"
2019-07-13 19:42:21.791000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":69}"
2019-07-13 19:42:23.831000+00:00,"{""occupancy"":true,""linkquality"":2,""battery"":100,""voltage"":3015,""illuminance"":68}"
2019-07-13 19:42:25.857000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":68}"
2019-07-13 19:42:27.886000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":68}"
2019-07-13 19:42:29.920000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":68}"
2019-07-13 19:42:34.002000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":68}"
2019-07-13 19:42:35.341000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":68}"
2019-07-13 19:42:35.364000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":68}"
2019-07-13 19:42:41.372000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":68}"
2019-07-13 19:42:44.486000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":68}"
2019-07-13 19:42:44.487000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":68}"
2019-07-13 19:42:51.607000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":69}"
2019-07-13 19:42:51.623000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":69}"
2019-07-13 19:42:58.413000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":68}"
2019-07-13 19:42:58.427000+00:00,"{""occupancy"":true,""linkquality"":2,""battery"":100,""voltage"":3015,""illuminance"":68}"
2019-07-13 19:44:28.427000+00:00,"{""occupancy"":false,""linkquality"":2,""battery"":100,""voltage"":3015,""illuminance"":68}"
2019-07-13 19:47:29.630000+00:00,"{""state"": ""online"", ""device"": ""status""}"
2019-07-13 20:01:04.982000+00:00,"{""description"": ""Aveiro (Universidade) @ 2019-07-13T19:00"", ""pressure"": 1016.1, ""windspeed"": 10.1, ""humidity"": 84.0, ""temperature"": 21.3, ""winddirection"": ""Este"", ""precipitation"": 0.0}"
2019-07-13 20:21:57.337000+00:00,"{""temperature"":26.12,""linkquality"":26,""humidity"":67.96,""pressure"":1011,""battery"":80,""voltage"":2965}"
2019-07-13 20:21:57.372000+00:00,"{""temperature"":26.12,""linkquality"":26,""humidity"":66.38,""pressure"":1011,""battery"":80,""voltage"":2965}"
2019-07-13 20:25:17.647000+00:00,"{""temperature"":26.08,""linkquality"":26,""humidity"":66.44,""pressure"":1011.3,""battery"":80,""voltage"":2965}"
2019-07-13 20:33:14.638000+00:00,"{""contact"":false,""linkquality"":0,""battery"":100,""voltage"":3005}"
2019-07-13 20:33:14.761000+00:00,"{""contact"":false,""linkquality"":0,""battery"":100,""voltage"":3005}"
2019-07-13 20:33:15.102000+00:00,"{""contact"":false,""linkquality"":0,""battery"":100,""voltage"":3005}"
2019-07-13 20:33:15.536000+00:00,"{""contact"":false,""linkquality"":0,""battery"":100,""voltage"":3005}"
2019-07-13 20:33:16.359000+00:00,"{""contact"":false,""linkquality"":0,""battery"":100,""voltage"":3005}"
2019-07-13 20:49:17.530000+00:00,"{""state"": ""online"", ""device"": ""status""}"
2019-07-13 20:58:44.444000+00:00,"{""temperature"":26.11,""linkquality"":28,""humidity"":66.44,""pressure"":1011.3,""battery"":80,""voltage"":2965}"
2019-07-13 20:58:44.496000+00:00,"{""temperature"":26.11,""linkquality"":28,""humidity"":68.71,""pressure"":1011.3,""battery"":80,""voltage"":2965}"
2019-07-13 20:58:44.497000+00:00,"{""temperature"":26.11,""linkquality"":28,""humidity"":68.71,""pressure"":1011,""battery"":80,""voltage"":2965}"
2019-07-13 21:01:04.962000+00:00,"{""pressure"": 1015.6, ""description"": ""Aveiro (Universidade) @ 2019-07-13T20:00"", ""humidity"": 86.0, ""temperature"": 20.8, ""windspeed"": 6.5, ""precipitation"": 0.0, ""winddirection"": ""Nordeste""}"
2019-07-13 21:17:58.174000+00:00,"{""temperature"":26.23,""linkquality"":26,""humidity"":68.71,""pressure"":1011,""battery"":80,""voltage"":2965}"
2019-07-13 21:17:58.216000+00:00,"{""temperature"":26.23,""linkquality"":28,""humidity"":69.02,""pressure"":1011,""battery"":80,""voltage"":2965}"
2019-07-13 21:20:48.849000+00:00,"{""temperature"":26.22,""linkquality"":28,""humidity"":69.02,""pressure"":1011.8,""battery"":80,""voltage"":2965}"
2019-07-13 21:50:49.995000+00:00,"{""state"": ""online"", ""device"": ""status""}"
2019-07-13 22:01:05.261000+00:00,"{""windspeed"": 6.8, ""precipitation"": 0.0, ""pressure"": 1015.6, ""temperature"": 20.1, ""description"": ""Aveiro (Universidade) @ 2019-07-13T21:00"", ""winddirection"": ""Nordeste"", ""humidity"": 87.0}"
2019-07-13 22:13:08.881000+00:00,"{""temperature"":26.27,""linkquality"":26,""humidity"":68.26,""pressure"":1011.9,""battery"":80,""voltage"":2965}"
2019-07-13 22:33:01.866000+00:00,"{""state"": ""online"", ""device"": ""status""}"
2019-07-13 22:39:19.282000+00:00,"{""temperature"":26.27,""linkquality"":26,""humidity"":68.69,""pressure"":1011.9,""battery"":80,""voltage"":2965}"
2019-07-13 22:39:19.283000+00:00,"{""temperature"":26.27,""linkquality"":23,""humidity"":68.69,""pressure"":1012,""battery"":80,""voltage"":2965}"
2019-07-13 22:39:22.511000+00:00,"{""temperature"":26.54,""linkquality"":23,""humidity"":68.69,""pressure"":1012,""battery"":80,""voltage"":2965}"
2019-07-13 22:39:22.538000+00:00,"{""temperature"":26.54,""linkquality"":23,""humidity"":68.75,""pressure"":1012,""battery"":80,""voltage"":2965}"
2019-07-13 22:39:22.539000+00:00,"{""temperature"":26.54,""linkquality"":23,""humidity"":68.75,""pressure"":1012,""battery"":80,""voltage"":2965}"
2019-07-13 22:39:27.004000+00:00,"{""temperature"":26.54,""linkquality"":15,""humidity"":68.75,""pressure"":1012,""battery"":80,""voltage"":2965}"
2019-07-13 22:39:27.023000+00:00,"{""temperature"":26.54,""linkquality"":21,""humidity"":68.87,""pressure"":1012,""battery"":80,""voltage"":2965}"
2019-07-13 22:39:30.262000+00:00,"{""temperature"":26.54,""linkquality"":23,""humidity"":68.87,""pressure"":1012,""battery"":80,""voltage"":2965}"
2019-07-13 22:39:30.302000+00:00,"{""temperature"":26.54,""linkquality"":21,""humidity"":68.79,""pressure"":1012,""battery"":80,""voltage"":2965}"
2019-07-13 22:39:30.303000+00:00,"{""temperature"":26.54,""linkquality"":23,""humidity"":68.79,""pressure"":1012,""battery"":80,""voltage"":2965}"
